City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,santa ana,33.7456,-117.8678,23.91,59,0,1.54,US,1740624315
83,blackmans bay,-43.0167,147.3167,21.4,60,21,0.89,AU,1740624644
84,bomdila,27.25,92.4,7.12,50,7,1.72,IN,1740624645
85,fuglafjordur,62.244,-6.814,4.7,65,73,9.71,FO,1740624646
86,invercargill,-46.4,168.35,20.01,57,100,2.68,NZ,1740624462
87,hammerfest,70.6634,23.6821,1.25,69,20,2.06,NO,1740624649
88,wacheng,33.7833,114.5167,14.47,50,0,3.53,CN,1740624650
89,gulf shores,30.246,-87.7008,17.23,82,0,0.0,US,1740624651
90,castillos,-34.1667,-53.8333,21.89,82,100,4.67,UY,1740624652
91,kroya,-7.6331,109.2461,31.35,67,10,1.76,ID,1740624653
92,vilyuchinsk,52.9306,158.4028,-2.85,67,100,0.87,RU,1740624654
93,ghanzi,-21.5667,21.7833,20.18,83,100,2.87,BW,1740624655
94,nova sintra,14.8667,-24.7167,21.79,69,24,8.57,CV,1740624656
95,boguchany,58.3814,97.4531,-23.79,83,5,1.44,RU,1740624657
96,aginskoye,51.1,114.53,-0.81,64,100,8.44,RU,1740624658
97,gamba,-2.65,10.0,25.47,92,85,1.83,GA,1740624659
98,berdigestyakh,62.0989,126.6992,-7.72,92,100,4.1,RU,1740624660
99,kirakira,-10.4544,161.9205,27.72,84,100,3.97,SB,1740624661
100,aras-asan,8.8908,126.3033,26.15,87,100,4.97,PH,1740624663
101,lichinga,-13.3128,35.2406,18.05,88,75,2.68,MZ,1740624664
102,thames,-37.1333,175.5333,24.47,54,38,3.85,NZ,1740624665
103,xai-xai,-25.0519,33.6442,24.96,83,92,8.99,MZ,1740624666
104,bardai,11.65,7.2333,19.44,22,70,4.37,NG,1740624667
105,alofi,-19.0595,-169.9187,30.94,62,20,3.09,NU,1740624668
106,taksimo,56.3444,114.8794,-13.31,91,100,2.52,RU,1740624669
107,broome,42.2506,-75.833,3.37,77,75,1.54,US,1740624670
108,thompson,55.7435,-97.8558,-18.91,78,20,1.54,CA,1740624412
109,tura,25.5198,90.2201,24.24,32,0,1.35,IN,1740624673
110,fort st. john,56.2499,-120.8529,2.94,81,100,5.14,CA,1740624674
111,dudinka,69.4058,86.1778,-32.08,99,59,3.63,RU,1740624675
112,biarritz,43.4801,-1.5556,6.67,87,0,1.54,FR,1740624676
113,bilibino,68.0546,166.4372,-24.01,85,24,0.4,RU,1740624677
114,sitka,57.0531,-135.33,6.94,76,100,9.26,US,1740624678
115,alo,6.5486,4.2686,26.55,86,92,1.91,NG,1740624679
116,nemuro,43.3236,145.575,-0.95,61,71,9.77,JP,1740624680
117,prince rupert,54.3161,-130.3201,5.83,87,100,21.09,CA,1740624681
118,longjiang,47.3303,123.1836,-3.13,72,88,1.71,CN,1740624682
119,guerrero negro,27.9769,-114.0611,14.69,89,87,5.01,MX,1740624683
120,palikir - national government center,6.9248,158.1611,28.41,85,100,3.09,FM,1740624684
121,mount pearl,47.5166,-52.7813,3.97,96,100,19.03,CA,1740624686
122,porbandar,21.6422,69.6093,24.77,51,100,2.92,IN,1740624687
123,bukittinggi,-0.3091,100.3706,22.17,86,99,1.44,ID,1740624688
124,hermanus,-34.4187,19.2345,20.45,82,60,4.9,ZA,1740624689
125,birzebbuga,35.8258,14.5269,12.38,66,40,6.69,MT,1740624690
126,bamboo flat,11.7,92.7167,29.05,74,40,4.63,IN,1740624691
127,tonekabon,36.8163,50.8738,3.97,56,95,0.62,IR,1740624692
128,olonkinbyen,70.9221,-8.7187,-2.92,74,100,4.34,SJ,1740624693
129,stanley,54.868,-1.6985,2.51,91,20,2.57,GB,1740624694
130,pisco,-13.7,-76.2167,23.03,83,0,1.54,PE,1740624537
131,vorgashor,67.5833,63.95,-13.78,96,100,5.07,RU,1740624696
132,chichiriviche,10.9333,-68.2772,25.13,88,34,4.13,VE,1740624697
133,misawa,40.6836,141.3597,4.63,52,54,7.1,JP,1740624698
134,usogorsk,63.4106,48.6872,-10.19,97,54,1.19,RU,1740624700
135,shakawe,-18.3667,21.85,19.68,97,98,2.04,BW,1740624701
136,gemena,3.25,19.7667,22.04,72,0,1.17,CD,1740624702
137,arraial do cabo,-22.9661,-42.0278,24.45,90,11,8.49,BR,1740624463
138,stepnogorsk,52.3544,71.8869,-13.15,91,49,7.65,KZ,1740624704
139,whangarei,-35.7317,174.3239,24.11,56,22,2.38,NZ,1740624554
140,anadyr,64.75,177.4833,-30.72,76,97,4.0,RU,1740624706
